"id","system","sector","region"
"5a1acfc8-a8c8-43b9-b539-23d38f418366","5251977","Quence","Outer Rim"
"1a96ed5a-cf91-4c5d-b5b4-6c001d8e6ca3","23 Mere","","Colonies"
"60907856-79c9-4f36-8c41-793e95f5821b","244Core","","Unknown Regions"
"9f8bee2a-ea35-419c-998b-183b29568c63","2GS-91E20","","Core Worlds"
"5f57a846-db63-4d2e-a010-b2878e1024df","Aaeton","","Core Worlds"
"b01a2e7b-2967-4206-9e24-0a32b35f4774","Aakaash","Oplovis","Outer Rim"
"4527a809-fb48-44e0-ada9-c4d81e935bc5","Aaloth","Gaulus","Outer Rim"
"35ac8ff7-b7fa-4587-b4b9-f19fd1440deb","Aar","Nijune","Outer Rim"
"c0761d00-12c5-4ec9-92ae-f02958227452","Aargau","","Core Worlds"
"55bf49c7-2584-40fd-8044-66d845b6af90","Aargonar","Perkell","Mid Rim"
"189ff67a-0d7a-49a2-baec-00139543184f","Aaris","Kathol","Outer Rim"
"b2f22467-59eb-4cbe-a75e-a21038843a28","Aaron","Tharin","Outer Rim"
"e066399e-9072-47aa-b134-b4af5dc966c5","Ab Dalis","Gaulus","Outer Rim"
"bf55a068-8af9-44a6-913b-fa68725eb8a4","Abaarian","Abaar","Mid Rim"
"3d17c522-ce79-4de9-84af-3ce3cab53e45","Abafar","Quelii","Outer Rim"
"473c0703-5e57-4252-9681-58cf87266ae3","Abar","Tragan Cluster","Outer Rim"
"082df3b8-bd66-4bf3-8b4a-3c96a82c4e04","Abbaji","Zuma (Spar)","Outer Rim"
"b1bd4f3e-8ad9-43d1-b5f0-3df175073b76","Ab'Bshingh","Sujimis","Outer Rim"
"dd635b61-711b-491f-b739-cc7fef5e7498","Abecederia","Noolian","Mid Rim"
"0b9f3dcc-a409-48bc-936f-8d016be58e2e","Abednedo","","Colonies"
"6f021394-5713-4954-865f-aa242fb1bbc9","Abelor","Yushan","Mid Rim"
"4601a21c-c2db-423a-9a43-474111d838c7","Abersyn","Cyrillian Protectorate","Expansion Region"
"3a7bcfa2-4aae-4823-9f59-f39c69fdaada","Abhean","Maldrood","Mid Rim"
"abf514e6-ebed-4a8d-94d4-824974f9c86d","Abo Dreth","Corporate Sector","Outer Rim"
"dd2d9a15-34de-4306-94ce-8354d6718c86","Abonshee","Fakir","Colonies"
"fbf51c7d-f19d-4111-9453-21c433ee751b","Abraxas","Yushan","Mid Rim"
"8c7d1bbf-934e-417f-950d-c0578a301d9d","Abraxin","Tion Hegemony","Outer Rim"
